CATEGORY_ID,MEDICINE_ID
2001,1001
2001,1002
2001,1003
2001,1004
2001,1005
2001,1006
2009,1007
2001,1007
2001,1008
2001,1009
2001,1010
2010,1011
2010,1012
2010,1013
2010,1014
2010,1015
2010,1016
2010,1017
2010,1018
2009,1019
2010,1019
2004,1020
2004,1021
2004,1022
2004,1023
2004,1024
2004,1025
2004,1026
2004,1027
2002,1028
2002,1029
2002,1030
2002,1031
2002,1032
2002,1033
2002,1034
2002,1035
2002,1036
2002,1037
2002,1038
2002,1039
2009,1040
2002,1040
2003,1041
2003,1042
2009,1042
2003,1043
2003,1044
2003,1045
2003,1046
2003,1047
2003,1048
2003,1049
2003,1050
2003,1051
2003,1052
2003,1053
2003,1054
2005,1055
2005,1056
2005,1057
2005,1058
2005,1059
2005,1060
2005,1061
2005,1062
2005,1063
2009,1064
2005,1064
2007,1065
2007,1066
2007,1067
2007,1068
2007,1069
2007,1070
2007,1071
2007,1072
2007,1073
2007,1074
2007,1075
2007,1076
2006,1077
2006,1078
2006,1079
2006,1080
2006,1081
2006,1082
2006,1083
2006,1084
2006,1085
2006,1086
2006,1087
2006,1088
2006,1089
2006,1090
2006,1091
2006,1092
2006,1093
2006,1094
2006,1095
2006,1096
2006,1097
2006,1098
2006,1099
2006,1100
2006,1101
2006,1102
2006,1103
2006,1104
2008,1104
2006,1105
2004,1105
2008,1106
2006,1106
2008,1107
2008,1108
2007,1108
2007,1109
2008,1109
2006,1110
2004,1110
